カード名	作品	種類	コスト	AT	HP	配置	使用	能力・効果
ヘイスト	ビギンズ	単呪S	G70	-	-	-	-	対象セプターに{呪}"ダイス6～8"をつける (次から2回のダイスを6～8にする)
ホープ	ビギンズ	単瞬S	G40	-	-	-	-	使用者はブックからカードを2枚引く
ホーリーワード１	ビギンズ	単呪N	G30	-	-	-	-	対象セプターに、{呪}ダイス制限1の効果を付ける(次のダイスが必ず1になる)
ホーリーワード３	ビギンズ	単呪N	G10	-	-	-	-	対象セプターに、{呪}ダイス制限3の効果を付ける(次のダイスが必ず3になる)
ホーリーワード６	ビギンズ	単呪N	G50	-	-	-	-	対象セプターに、{呪}ダイス制限6の効果を付ける(次のダイスが必ず6になる)
ホーリーワード８	ビギンズ	単呪S	G80	-	-	-	-	対象セプターに{呪}"ダイス8"をつける (次のダイスを8にする)
マウンテンリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{火}土地に飛ぶ (使用者はこのターンのダイスを使えない)
マジックボルト	ビギンズ	単瞬N	G50	-	-	-	-	対象敵クリーチャーに20ダメージ
マスグロース	ビギンズ	複瞬R	G50	-	-	-	-	全てのクリーチャーのHP&最大HPが5増加する
マスファンタズム	ビギンズ	複呪R	G70	-	-	-	-	全てのクリーチャーに、{呪}HP固定の効果を付ける (HP、最大HPがスペルの効果を受けなくなる)
マナ	ビギンズ	単瞬N	G0	-	-	-	-	使用者は(周回数+1)×G100の魔力を得る
ミューテーション	ビギンズ	単瞬S	G60	-	-	-	-	対象クリーチャーの最大HPを20増加させ、{呪}毒の効果を付ける
メテオ	ビギンズ	単瞬R	G200+□	-	-	-	-	対象の領地のレベルを2下げる : 対象の領地が連鎖していない場合、レベルを1にする
ライフストリーム	ビギンズ	複瞬N	G50	-	-	-	-	全ての自クリーチャーのHPを全回復する
ランドプロテクション	ビギンズ	単呪N	G80	-	-	-	-	対象の領地に防魔の{呪}効果を付ける
リコール	ビギンズ	単瞬S	G90	-	-	-	-	使用者は城に飛ぶ (使用者はこのターンのダイスを使えない)
リバイバル	ビギンズ	単瞬N	G70	-	-	-	-	対象セプターのブックをゲーム開始時の状態に戻す
リベレーション	ビギンズ	単呪S	G50	-	-	-	-	使用者に、{呪}全領地開発の効果を付ける(2ラウンドの間、全ての領地に対して領地開発を使用できる)
リムーブカース	ビギンズ	単瞬N	G20	-	-	-	-	対象クリーチャーに付いた{呪}効果を消す：使用後、ブックに復帰する
リリーフ	ビギンズ	単瞬N	G30	-	-	-	-	2体の対象自クリーチャーを交換する ; 復帰[ブック]
リンカネーション	ビギンズ	単瞬R	G70	-	-	-	-	使用者は手札を全て捨て、その枚数+1枚のカードを引く
レイオブロウ	ビギンズ	複瞬S	G60	-	-	-	-	全てのセプターの手札の使用魔力G100以上のカードを破壊する
レイクリープ	ビギンズ	単瞬N	G20	-	-	-	-	使用者は最も近い{水}土地に飛ぶ (使用者はこのターンのダイスを使えない)
ローカスト	ビギンズ	単瞬S	G100	-	-	-	-	対象の領地のレベルを1下げる
アンチマジック	ビギンズ	単呪N	G50	-	-	-	-	対象セプターに、{呪}抗魔の効果を付ける (対象を選ぶスペル・領地能力の効果を1度だけ受けない)
ウィークネス	ビギンズ	単瞬N	G20	-	-	-	-	対象クリーチャーの基本ATを0にする ; カードを1枚引く
カモフラージュ	ビギンズ	単呪S	G40	-	-	-	-	対象クリーチャーに、{呪}保護色の効果を付ける (自身や土地の属性に関係なく地形効果を得る) ; 使用後、ブックに復帰する
ゴブリンズレア	ビギンズ	単瞬R	G10+□	-	-	-	-	使用者が空き地に止まっている場合、そこに"ゴブリン"を配置する ; 使用後、手札に復帰する
サイレンス	ビギンズ	単呪S	G60	-	-	-	-	対象敵セプターに、{呪}クリーチャー封印の効果を付ける (2ラウンドの間クリーチャーカードを使用できない)
ターンウォール	ビギンズ	単瞬R	G80	-	-	-	-	対象クリーチャーをある特定の、同じ属性の防御型クリーチャーに変身させる
チャリオット	ビギンズ	単瞬S	G50	-	-	-	-	対象の自クリーチャーを2マス移動させる ; 使用後、ブックに復帰する
ファインド	ビギンズ	単瞬S	G20	-	-	-	-	使用者はブックからカードを1枚引く ; 使用後、手札に復帰する
ランドドレイン	ビギンズ	単瞬S	G50	-	-	-	-	使用者は、対象敵セプターから、そのセプターの所有する領地数xG30の魔力を奪う
